id,hue,saturation,value,svsum,grid_x,grid_y
IMG_WP.30,0,0,0.127200984,0.127200984,0,0
IMG_BWWP.27,0,0,0.141894892,0.141894892,0,1
IMG_81.1.3.B,0,0,0.144598855,0.144598855,0,2
IMG_BWWP.49,0,0,0.146284315,0.146284315,0,3
IMG_BWWP.39,0,0,0.14787849,0.14787849,0,4
84_6_F,0,0,0.152473255,0.152473255,0,5
IMG_BWWP.32,0,0,0.159587054,0.159587054,0,6
IMG_81.1.19.A,0,0,0.17370047,0.17370047,0,7
IMG_BWWP.11,0,0,0.179591363,0.179591363,0,8
83_30_F,0,0,0.184659184,0.184659184,0,9
IMG_81.1.15.B,0,0,0.192093252,0.192093252,0,10
IMG_81.1.3.A,0,0,0.192593976,0.192593976,0,11
IMG_81.1.22.A,0,0,0.196666102,0.196666102,0,12
IMG_BWWP.1,0,0,0.19843753,0.19843753,0,13
IMG_81.1.1.B,0,0,0.201227081,0.201227081,0,14
IMG_81.1.22.B,0,0,0.206858828,0.206858828,0,15
IMG_BWWP.52,0,0,0.217684938,0.217684938,0,16
IMG_BW61.17,0,0,0.218174216,0.218174216,0,17
73_16,0,0,0.218658497,0.218658497,0,18
IMG_81.1.19.B,0,0,0.220088895,0.220088895,0,19
M_2012_3_1,0,0,0.222403669,0.222403669,0,20
IMG_81.1.20.A,0,0,0.225172157,0.225172157,0,21
IMG_81.1.1.A,0,0,0.227470514,0.227470514,0,22
87_16_89,0,0,0.228391895,0.228391895,0,23
IMG_96.33.2.B,0,0,0.23164709,0.23164709,0,24
IMG_81.1.14.B,0,0,0.233399872,0.233399872,0,25
IMG_BWWP.44,0,0,0.23473269,0.23473269,0,26
84_14_1_M,0,0,0.238401665,0.238401665,0,27
TN_Kolster_tl.2018.15.2,0,0,0.246235548,0.246235548,0,28
96_20_5,0,0,0.247204621,0.247204621,0,29
84_14_1_C,0,0,0.251806172,0.251806172,0,30
IMG_81.1.23.B,0,0,0.253680397,0.253680397,0,31
IMG_M.2006.5.54,0,0,0.25864352,0.25864352,0,32
96_20_8,0,0,0.259614024,0.259614024,0,33
IMG_BW80.7,0,0,0.260853721,0.260853721,0,34
IMG_BWWP.16,0,0,0.262086911,0.262086911,0,35
83_30_K,0,0,0.262096535,0.262096535,0,36
M_2018_3_2,0,0,0.263855776,0.263855776,0,37
IMG_81.1.16.B,0,0,0.269429455,0.269429455,0,38
IMG_81.1.21.B,0,0,0.270198834,0.270198834,0,39
87_16_90,0,0,0.277110384,0.277110384,0,40
IMG_81.1.16.A,0,0,0.279398623,0.279398623,0,41
IMG_81.1.21.A,0,0,0.281419334,0.281419334,0,42
IMG_BWWP.58,0,0,0.283067165,0.283067165,0,43
IMG_81.1.6.A,0,0,0.283718851,0.283718851,0,44
IMG_BWWP.14,0,0,0.284048239,0.284048239,0,45
IMG_M_2012_6_1_B,0,0,0.284870803,0.284870803,0,46
IMG_81.1.14.A,0,0,0.286854106,0.286854106,0,47
IMG_BW92.5.85,0,0,0.287431519,0.287431519,0,48
M.2004.16.A,0,0,0.290047524,0.290047524,0,49
92_21_58,0,0,0.29758591,0.29758591,0,50
TN_Kolster_tl.2018.15.3,0,0,0.30044392,0.30044392,0,51
84_14_1_I,0,0,0.301888643,0.301888643,0,52
IMG_96.33.2.J,0,0,0.302127703,0.302127703,0,53
92_22_26,0,0,0.303908688,0.303908688,0,54
IMG_81.1.11.B,0,0,0.309138975,0.309138975,0,55
IMG_77.43.11,0,0,0.31293881,0.31293881,0,56
IMG_M.2007.23.D,0,0,0.316654218,0.316654218,0,57
M_2012_7_10,0,0,0.323244694,0.323244694,0,58
84_14_1_H,0,0,0.325338347,0.325338347,0,59
IMG_81.1.4.A,0,0,0.32757721,0.32757721,0,60
IMG_81.1.4.B,0,0,0.332220842,0.332220842,0,61
